NUTS2,y2006,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060
ITF6,2004415,1966336,1972992,1954431,1937160,1918720,1897159,1869010,1830380,1778855,1716948,1651224
ITG1,5017212,4997429,5055938,5064815,5077896,5088141,5088415,5069937,5023937,4944482,4837063,4717217
ITG2,1655677,1641347,1656873,1650412,1635641,1614208,1586941,1553342,1511388,1458541,1396165,1329634
LT00,3403284,3141976,2901039,2671108,2425263,2201947,2057227,1997167,1950921,1910327,1870682,1835498
LU00,469086,502066,562848,632529,707777,785154,861351,932937,997144,1051255,1096814,1139562
LV00,2294590,2120504,1985887,1880087,1755404,1634612,1551426,1513038,1482060,1453698,1425864,1398567
MT00,405006,414027,426144,438166,448723,456212,460481,462760,464933,468119,472081,476006
NL11,574042,576668,582819,588140,595479,602306,606415,607035,605162,602948,601788,602172
NL12,642230,646305,646296,644119,640059,633977,624850,611364,593934,574627,555050,536510
NL13,484481,490981,489253,486389,481556,475006,465884,452923,436520,418484,400285,382888
NL21,1113529,1130345,1143383,1152960,1160222,1164399,1164287,1157184,1142826,1124376,1104579,1085565
NL22,1975704,1998936,2022383,2038692,2052404,2060468,2058133,2040720,2009888,1973141,1936054,1902318
NL23,370656,387881,404530,420129,435002,448176,458611,465237,468014,468167,466935,465500
NL31,1180039,1220910,1258243,1291937,1324846,1354903,1380672,1399772,1411015,1416916,1420216,1423434
NL32,2606584,2669084,2755203,2837873,2921867,2999123,3063177,3110094,3140858,3162969,3181582,3200533
NL33,3458875,3505611,3594934,3678706,3760982,3832707,3887729,3923102,3941239,3950535,3955398,3959853
NL34,380186,381409,380584,378891,376063,371545,364517,354741,343093,330898,318781,306962
NL41,2415946,2444158,2480788,2504715,2523346,2532272,2527502,2505477,2468799,2425455,2380813,2338788
NL42,1131938,1122701,1118463,1109744,1098638,1082109,1058024,1025720,987900,949252,912581,879396
NO01,1039536,1123359,1235430,1364632,1505740,1649988,1791226,1925060,2047918,2155855,2250644,2339765
NO02,371715,375925,384040,395384,409156,422807,434403,443082,449069,452543,454185,455463
NO03,893858,928852,980870,1040166,1104756,1168785,1227944,1279926,1323902,1358840,1386244,1410774
NO04,663995,706823,763926,829239,900053,971263,1039666,1103798,1162678,1214765,1260713,1303927
NO05,804239,835517,886209,945541,1011187,1077247,1139542,1195843,1245657,1288550,1325799,1360712
NO06,404097,422102,447328,476808,509026,541038,570794,597551,621357,642154,660467,677686
NO07,462779,465621,479394,495832,514853,533234,548898,561182,570429,576678,580626,583962
PL11,2577465,2535866,2506201,2459720,2403542,2337642,2267271,2197222,2127308,2058909,1991965,1925612
PL12,5157729,5217587,5331058,5397588,5432044,5439902,5438979,5440769,5438334,5428044,5408243,5378246
PL21,3266187,3280603,3369214,3404355,3419419,3414244,3397808,3377662,3352654,3321756,3282813,3235223
PL22,4685775,4590630,4591051,4520717,4419167,4291638,4155357,4023230,3892470,3761353,3629075,3497382
PL31,2179611,2161679,2152807,2120359,2078285,2025665,1966251,1903945,1838739,1771888,1703470,1633330
PL32,2098263,2081154,2130967,2133385,2124648,2102414,2070590,2033229,1990529,1943693,1892168,1835669
PL33,1285007,1272156,1264434,1240070,1210371,1174647,1134796,1092404,1047421,1001523,955666,909803
PL34,1199689,1176151,1194369,1183254,1166223,1142537,1114797,1085381,1053569,1019206,982168,943297
PL41,3372417,3410721,3472324,3495568,3497400,3477437,3445501,3409240,3367753,3321832,3270386,3212597
PL42,1694178,1696985,1717007,1704995,1683325,1652840,1617848,1581828,1543982,1506295,1469049,1432044
